time,io,ctlmode,ctlbrake,ctlthrottle,ctlgear_location,vehicle_speed,engine_rpm,driving_mode,throttle_percentage,brake_percentage,gear_location, imu
1562207924.3020,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00357627868652
1562207924.3119,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00406056642532
1562207924.3224,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00379979610443
1562207924.3318,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00393018126488
1562207924.3423,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.003632158041
1562207924.3518,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00379979610443
1562207924.3623,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00370666384697
1562207924.3718,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00277534127235
1562207924.3824,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00353902578354
1562207924.3918,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00389292836189
1562207924.4024,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00383704900742
1562207924.4119,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.003632158041
1562207924.4224,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00456348061562
1562207924.4318,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00389292836189
1562207924.4424,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00424683094025
1562207924.4520,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00424683094025
1562207924.4615,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00398606061935
1562207924.4720,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00376254320145
1562207924.4815,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.003632158041
1562207924.4920,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00393018126488
1562207924.5015,0,1,0,0,1,0.0,nan,0,0.0,0.0,0,-0.00348314642906
1562207924.5069,1,1,0,24.0,1,0.0,nan,0,0.0,0.0,0,-0.00348314642906
1562207924.5169,1,1,0,24.0,1,0.0,nan,0,0.0,0.0,0,-0.00393018126488
1562207924.5269,1,1,0,24.0,1,0.0,nan,0,0.0,0.0,0,-0.00379979610443
1562207924.5369,1,1,0,24.0,1,0.0,nan,0,0.0,0.0,0,-0.003632158041
1562207924.5469,1,1,0,24.0,1,0.0,nan,0,0.0,0.0,0,-0.00424683094025
1562207924.5569,1,1,0,24.0,1,0.0,nan,0,0.0,0.0,0,-0.00340864062309
1562207924.5669,1,1,0,24.0,1,0.0,nan,0,0.0,0.0,0,-0.00383704900742
1562207924.5769,1,1,0,24.0,1,0.0,nan,0,0.0,0.0,0,-0.00344589352608
1562207924.5869,1,1,0,24.0,1,0.0,nan,0,0.0,0.0,0,-0.00361353158951
1562207924.5969,1,1,0,24.0,1,0.0,nan,0,0.0,0.0,0,-0.00353902578354
1562207924.6069,1,1,0,24.0,1,0.0,nan,0,0.0,0.0,0,-0.00370666384697
1562207924.6170,1,1,0,24.0,1,0.0,nan,0,0.0,0.0,0,-0.00357627868652
1562207924.6269,1,1,0,24.0,1,0.0,nan,0,0.0,0.0,0,-0.00353902578354
1562207924.6291,0,1,0,24.0,1,0.0,nan,1,0.0,0.0,0,-0.00353902578354
1562207924.6298,0,1,0,24.0,1,0.0,nan,1,0.0,0.0,0,-0.00406056642532
1562207924.6369,1,1,0,24.0,1,0.0,nan,1,0.0,0.0,0,-0.00406056642532
1562207924.6402,0,1,0,24.0,1,0.0,nan,1,0.0,0.0,0,-0.00199303030968
1562207924.6469,1,1,0,24.0,1,0.0,nan,1,0.0,0.0,0,-0.00199303030968
1562207924.6497,0,1,0,24.0,1,0.0,nan,1,0.0,0.0,0,-0.00527128577232
1562207924.6569,1,1,0,24.0,1,0.0,nan,1,0.0,0.0,0,-0.00527128577232
1562207924.6602,0,1,0,24.0,1,0.0,nan,1,0.0,0.0,0,-0.00398606061935
1562207924.6669,1,1,0,24.0,1,0.0,nan,1,0.0,0.0,0,-0.00398606061935
1562207924.6697,0,1,0,24.0,1,0.0,nan,1,0.0,0.0,0,-0.00247731804848
1562207924.6769,1,1,0,24.0,1,0.0,nan,1,0.0,0.0,0,-0.00247731804848
1562207924.6801,0,1,0,24.0,1,0.0,nan,1,0.0,0.0,0,-0.00476837158203
1562207924.6869,1,1,0,24.0,1,0.0,nan,1,0.0,0.0,0,-0.00476837158203
1562207924.6895,0,1,0,24.0,1,0.0,nan,1,0.0,0.0,0,-0.00331550836563
1562207924.6969,1,1,0,24.0,1,0.0,nan,1,0.0,0.0,0,-0.00331550836563
1562207924.6999,0,1,0,24.0,1,0.0,nan,1,0.0,0.0,0,-0.00476837158203
1562207924.7068,1,1,0,24.0,1,0.0,nan,1,0.0,0.0,0,-0.00476837158203
1562207924.7103,0,1,0,24.0,1,0.0,nan,1,0.0,0.0,0,-0.00366941094398
1562207924.7168,1,1,0,24.0,1,0.0,nan,1,0.0,0.0,0,-0.00366941094398
1562207924.7196,0,1,0,24.0,1,0.0,nan,1,0.0,0.0,0,-0.00437721610069
