time,io,ctlmode,ctlbrake,ctlthrottle,ctlgear_location,vehicle_speed,engine_rpm,driving_mode,throttle_percentage,brake_percentage,gear_location, imu
1562207590.2234,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00135973095894
1562207590.2328,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.0009685754776
1562207590.2432,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.000838190317154
1562207590.2524,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.000875443220139
1562207590.2628,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.0014528632164
1562207590.2731,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.000707805156708
1562207590.2834,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00109896063805
1562207590.2927,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00100582838058
1562207590.3030,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00119209289551
1562207590.3134,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00132247805595
1562207590.3227,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.000838190317154
1562207590.3330,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.000745058059692
1562207590.3432,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00122934579849
1562207590.3526,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.000745058059692
1562207590.3629,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.000707805156708
1562207590.3732,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.000521540641785
1562207590.3824,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.000838190317154
1562207590.3930,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00100582838058
1562207590.4033,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.000558793544769
1562207590.4126,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00122934579849
1562207590.4229,0,1,0,0,1,0.0,nan,0,0.0,0.0,0,-0.000707805156708
1562207590.4323,1,1,0,22.0,1,0.0,nan,0,0.0,0.0,0,-0.0014528632164
1562207590.4423,1,1,0,22.0,1,0.0,nan,0,0.0,0.0,0,-0.00109896063805
1562207590.4523,1,1,0,22.0,1,0.0,nan,0,0.0,0.0,0,-0.000391155481339
1562207590.4624,1,1,0,22.0,1,0.0,nan,0,0.0,0.0,0,-0.00154599547386
1562207590.4723,1,1,0,22.0,1,0.0,nan,0,0.0,0.0,0,-0.0014528632164
1562207590.4824,1,1,0,22.0,1,0.0,nan,0,0.0,0.0,0,-0.000260770320892
1562207590.4923,1,1,0,22.0,1,0.0,nan,0,0.0,0.0,0,-0.000428408384323
1562207590.5024,1,1,0,22.0,1,0.0,nan,0,0.0,0.0,0,-0.000838190317154
1562207590.5123,1,1,0,22.0,1,0.0,nan,0,0.0,0.0,0,-0.000558793544769
1562207590.5223,1,1,0,22.0,1,0.0,nan,0,0.0,0.0,0,-0.00113621354103
1562207590.5323,1,1,0,22.0,1,0.0,nan,0,0.0,0.0,0,-0.00189989805222
1562207590.5423,1,1,0,22.0,1,0.0,nan,0,0.0,0.0,0,-0.0009685754776
1562207590.5523,1,1,0,22.0,1,0.0,nan,0,0.0,0.0,0,-0.00100582838058
1562207590.5537,0,1,0,22.0,1,0.0,nan,1,0.0,0.0,0,-0.00100582838058
1562207590.5541,0,1,0,22.0,1,0.0,nan,1,0.0,0.0,0,-0.00100582838058
1562207590.5623,1,1,0,22.0,1,0.0,nan,1,0.0,0.0,0,-0.00141561031342
1562207590.5644,0,1,0,22.0,1,0.0,nan,1,0.0,0.0,0,-0.00141561031342
1562207590.5723,1,1,0,22.0,1,0.0,nan,1,0.0,0.0,0,-0.00132247805595
1562207590.5748,0,1,0,22.0,1,0.0,nan,1,0.0,0.0,0,-0.00132247805595
1562207590.5823,1,1,0,22.0,1,0.0,nan,1,0.0,0.0,0,-0.000838190317154
1562207590.5841,0,1,0,22.0,1,0.0,nan,1,0.0,0.0,0,-0.000838190317154
1562207590.5923,1,1,0,22.0,1,0.0,nan,1,0.0,0.0,0,-0.00176951289177
1562207590.5945,0,1,0,22.0,1,0.0,nan,1,0.0,0.0,0,-0.00176951289177
1562207590.6023,1,1,0,22.0,1,0.0,nan,1,0.0,0.0,0,-0.00189989805222
1562207590.6048,0,1,0,22.0,1,0.0,nan,1,0.0,0.0,0,-0.00189989805222
1562207590.6125,1,1,0,22.0,1,0.0,nan,1,0.0,0.0,0,-0.0009685754776
1562207590.6141,0,1,0,22.0,1,0.0,nan,1,0.0,0.0,0,-0.0009685754776
1562207590.6223,1,1,0,22.0,1,0.0,nan,1,0.0,0.0,0,-0.0004842877388
1562207590.6245,0,1,0,22.0,1,0.0,nan,1,0.0,0.0,0,-0.0004842877388
1562207590.6323,1,1,0,22.0,1,0.0,nan,1,0.0,0.0,0,-0.00162050127983
1562207590.6348,0,1,0,22.0,1,0.0,nan,1,0.0,0.0,0,-0.00162050127983
1562207590.6424,1,1,0,22.0,1,0.0,nan,1,0.0,0.0,0,-0.000838190317154
1562207590.6441,0,1,0,22.0,1,0.0,nan,1,0.0,0.0,0,-0.000838190317154
1562207590.6523,1,1,0,22.0,1,0.0,nan,1,0.0,0.0,0,-0.00212341547012
1562207590.6545,0,1,0,22.0,1,0.0,nan,1,0.0,0.0,0,-0.00212341547012
1562207590.6623,1,1,0,22.0,1,0.0,nan,1,0.0,0.0,0,-0.00167638063431
1562207590.6648,0,1,0,22.0,1,0.0,nan,1,0.0,0.0,0,-0.00167638063431
1562207590.6724,1,1,0,22.0,1,0.0,nan,1,0.0,0.0,0,-7.45058059692e-05
1562207590.6742,0,1,0,22.0,1,0.0,nan,1,0.0,0.0,0,-7.45058059692e-05
1562207590.6825,1,1,0,22.0,1,0.0,nan,1,0.0,0.0,0,0.0
1562207590.6846,0,1,0,22.0,1,0.0,nan,1,0.0,0.0,0,0.0
1562207590.6924,1,1,0,22.0,1,0.0,nan,1,0.0,0.0,0,-0.00219792127609
1562207590.6941,0,1,0,22.0,1,0.0,nan,1,0.0,0.0,0,-0.00219792127609
1562207590.7024,1,1,0,22.0,1,0.0,nan,1,0.0,0.0,0,-0.00100582838058
1562207590.7046,0,1,0,22.0,1,0.0,nan,1,0.0,0.0,0,-0.00100582838058
1562207590.7124,1,1,0,22.0,1,0.0,nan,1,0.0,0.0,0,-0.000875443220139
1562207590.7139,0,1,0,22.0,1,0.0,nan,1,0.0,0.0,0,-0.000875443220139
1562207590.7224,1,1,0,22.0,1,0.0,nan,1,0.0,0.0,0,-0.00141561031342
1562207590.7244,0,1,0,22.0,1,0.0,nan,1,0.0,0.0,0,-0.00141561031342
1562207590.7326,1,1,0,22.0,1,0.0,nan,1,0.0,0.0,0,-0.000838190317154
1562207590.7349,0,1,0,22.0,1,0.0,nan,1,0.0,0.0,0,-0.000838190317154
1562207590.7425,1,1,0,22.0,1,0.0,nan,1,0.0,0.0,0,-0.00132247805595
1562207590.7443,0,1,0,22.0,1,0.0,nan,1,0.0,0.0,0,-0.00132247805595
