time,io,ctlmode,ctlbrake,ctlthrottle,ctlgear_location,vehicle_speed,engine_rpm,driving_mode,throttle_percentage,brake_percentage,gear_location, imu
1562208729.6509,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00482425093651
1562208729.6603,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00499188899994
1562208729.6708,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00547617673874
1562208729.6801,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00547617673874
1562208729.6905,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00456348061562
1562208729.7008,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00456348061562
1562208729.7102,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00482425093651
1562208729.7206,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00527128577232
1562208729.7310,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00517815351486
1562208729.7403,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00512227416039
1562208729.7507,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00527128577232
1562208729.7612,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00437721610069
1562208729.7705,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00450760126114
1562208729.7810,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.0046007335186
1562208729.7903,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00499188899994
1562208729.8007,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00601634383202
1562208729.8111,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00512227416039
1562208729.8205,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.0055693089962
1562208729.8309,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00527128577232
1562208729.8403,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00527128577232
1562208729.8506,0,1,0,0,1,0.0,nan,0,0.0,0.0,0,-0.00579282641411
1562208729.8575,1,1,0,43.0,1,0.0,nan,0,0.0,0.0,0,-0.00491738319397
1562208729.8675,1,1,0,43.0,1,0.0,nan,0,0.0,0.0,0,-0.00491738319397
1562208729.8775,1,1,0,43.0,1,0.0,nan,0,0.0,0.0,0,-0.00450760126114
1562208729.8875,1,1,0,43.0,1,0.0,nan,0,0.0,0.0,0,-0.00504776835442
1562208729.8975,1,1,0,43.0,1,0.0,nan,0,0.0,0.0,0,-0.00463798642159
1562208729.9075,1,1,0,43.0,1,0.0,nan,0,0.0,0.0,0,-0.00476837158203
1562208729.9175,1,1,0,43.0,1,0.0,nan,0,0.0,0.0,0,-0.00512227416039
1562208729.9275,1,1,0,43.0,1,0.0,nan,0,0.0,0.0,0,-0.00517815351486
1562208729.9375,1,1,0,43.0,1,0.0,nan,0,0.0,0.0,0,-0.00527128577232
1562208729.9475,1,1,0,43.0,1,0.0,nan,0,0.0,0.0,0,-0.00517815351486
1562208729.9575,1,1,0,43.0,1,0.0,nan,0,0.0,0.0,0,-0.00540167093277
1562208729.9675,1,1,0,43.0,1,0.0,nan,0,0.0,0.0,0,-0.00553205609322
1562208729.9777,1,1,0,43.0,1,0.0,nan,0,0.0,0.0,0,-0.00476837158203
1562208729.9789,0,1,0,43.0,1,0.0,nan,1,0.0,0.0,0,-0.00476837158203
1562208729.9793,0,1,0,43.0,1,0.0,nan,1,0.0,0.0,0,-0.00476837158203
1562208729.9876,1,1,0,43.0,1,0.0,nan,1,0.0,0.0,0,-0.00534579157829
1562208729.9896,0,1,0,43.0,1,0.0,nan,1,0.0,0.0,0,-0.00534579157829
1562208729.9975,1,1,0,43.0,1,0.0,nan,1,0.0,0.0,0,-0.00562518835068
1562208730.0000,0,1,0,43.0,1,0.0,nan,1,0.0,0.0,0,-0.00562518835068
1562208730.0075,1,1,0,43.0,1,0.0,nan,1,0.0,0.0,0,-0.00597909092903
1562208730.0094,0,1,0,43.0,1,0.0,nan,1,0.0,0.0,0,-0.00597909092903
1562208730.0175,1,1,0,43.0,1,0.0,nan,1,0.0,0.0,0,-0.00441446900368
1562208730.0198,0,1,0,43.0,1,0.0,nan,1,0.0,0.0,0,-0.00441446900368
1562208730.0275,1,1,0,43.0,1,0.0,nan,1,0.0,0.0,0,-0.00620260834694
1562208730.0301,0,1,0,43.0,1,0.0,nan,1,0.0,0.0,0,-0.00620260834694
1562208730.0375,1,1,0,43.0,1,0.0,nan,1,0.0,0.0,0,-0.00610947608948
1562208730.0395,0,1,0,43.0,1,0.0,nan,1,0.0,0.0,0,-0.00610947608948
1562208730.0476,1,1,0,43.0,1,0.0,nan,1,0.0,0.0,0,-0.00512227416039
1562208730.0498,0,1,0,43.0,1,0.0,nan,1,0.0,0.0,0,-0.00512227416039
1562208730.0575,1,1,0,43.0,1,0.0,nan,1,0.0,0.0,0,-0.00476837158203
1562208730.0593,0,1,0,43.0,1,0.0,nan,1,0.0,0.0,0,-0.00476837158203
1562208730.0675,1,1,0,43.0,1,0.0,nan,1,0.0,0.0,0,-0.00450760126114
1562208730.0696,0,1,0,43.0,1,0.0,nan,1,0.0,0.0,0,-0.00450760126114
1562208730.0777,1,1,0,43.0,1,0.0,nan,1,0.0,0.0,0,-0.00456348061562
1562208730.0800,0,1,0,43.0,1,0.0,nan,1,0.0,0.0,0,-0.00456348061562
1562208730.0875,1,1,0,43.0,1,0.0,nan,1,0.0,0.0,0,-0.00441446900368
1562208730.0894,0,1,0,43.0,1,0.0,nan,1,0.0,0.0,0,-0.00441446900368
1562208730.0975,1,1,0,43.0,1,0.0,nan,1,0.0,0.0,0,-0.00517815351486
1562208730.0999,0,1,0,43.0,1,0.0,nan,1,0.0,0.0,0,-0.00517815351486
1562208730.1075,1,1,0,43.0,1,0.0,nan,1,0.0,0.0,0,-0.00499188899994
1562208730.1092,0,1,0,43.0,1,0.0,nan,1,0.0,0.0,0,-0.00499188899994
1562208730.1175,1,1,0,43.0,1,0.0,nan,1,0.0,0.0,0,-0.00579282641411
1562208730.1195,0,1,0,43.0,1,0.0,nan,1,0.0,0.0,0,-0.00579282641411
1562208730.1275,1,1,0,43.0,1,0.0,nan,1,0.0,0.0,0,-0.00476837158203
1562208730.1299,0,1,0,43.0,1,0.0,nan,1,0.0,0.0,0,-0.00476837158203
