time,io,ctlmode,ctlbrake,ctlthrottle,ctlgear_location,vehicle_speed,engine_rpm,driving_mode,throttle_percentage,brake_percentage,gear_location, imu
1562208270.5514,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00344589352608
1562208270.5617,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00331550836563
1562208270.5721,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00318512320518
1562208270.5816,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00299885869026
1562208270.5919,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00322237610817
1562208270.6013,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00335276126862
1562208270.6122,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00335276126862
1562208270.6214,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.002421438694
1562208270.6325,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00376254320145
1562208270.6422,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00331550836563
1562208270.6515,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00238418579102
1562208270.6620,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00238418579102
1562208270.6713,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.002421438694
1562208270.6816,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00260770320892
1562208270.6921,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.0029057264328
1562208270.7014,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00370666384697
1562208270.7118,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00273808836937
1562208270.7222,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00340864062309
1562208270.7316,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00348314642906
1562208270.7420,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00398606061935
