time,io,ctlmode,ctlbrake,ctlthrottle,ctlgear_location,vehicle_speed,engine_rpm,driving_mode,throttle_percentage,brake_percentage,gear_location, imu
1562208145.4552,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,0.00270083546638
1562208145.4656,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,0.00361353158951
1562208145.4759,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,0.00327825546265
1562208145.4853,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,0.0029057264328
1562208145.4956,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,0.00264495611191
1562208145.5060,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,0.00180676579475
1562208145.5153,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,0.00277534127235
1562208145.5257,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,0.00273808836937
1562208145.5350,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,0.00255182385445
1562208145.5454,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,0.00264495611191
1562208145.5559,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,0.00264495611191
1562208145.5652,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,0.00234693288803
1562208145.5756,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,0.00212341547012
1562208145.5849,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,0.00225380063057
1562208145.5954,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,0.00283122062683
1562208145.6059,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,0.00264495611191
1562208145.6154,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,0.00229105353355
1562208145.6260,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,0.00203028321266
1562208145.6355,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,0.00277534127235
1562208145.6459,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,0.00286847352982
1562208145.6554,0,1,0,0,1,0.0,nan,0,0.0,0.0,0,0.00296160578728
1562208145.6602,1,1,0,26.0,1,0.0,nan,0,0.0,0.0,0,0.00296160578728
1562208145.6702,1,1,0,26.0,1,0.0,nan,0,0.0,0.0,0,0.00296160578728
1562208145.6803,1,1,0,26.0,1,0.0,nan,0,0.0,0.0,0,0.00264495611191
1562208145.6903,1,1,0,26.0,1,0.0,nan,0,0.0,0.0,0,0.00283122062683
1562208145.7001,1,1,0,26.0,1,0.0,nan,0,0.0,0.0,0,0.00247731804848
1562208145.7101,1,1,0,26.0,1,0.0,nan,0,0.0,0.0,0,0.00247731804848
1562208145.7201,1,1,0,26.0,1,0.0,nan,0,0.0,0.0,0,0.00260770320892
1562208145.7301,1,1,0,26.0,1,0.0,nan,0,0.0,0.0,0,0.00260770320892
1562208145.7402,1,1,0,26.0,1,0.0,nan,0,0.0,0.0,0,0.00229105353355
1562208145.7502,1,1,0,26.0,1,0.0,nan,0,0.0,0.0,0,0.00229105353355
1562208145.7602,1,1,0,26.0,1,0.0,nan,0,0.0,0.0,0,0.0029057264328
1562208145.7703,1,1,0,26.0,1,0.0,nan,0,0.0,0.0,0,0.0029057264328
1562208145.7801,1,1,0,26.0,1,0.0,nan,0,0.0,0.0,0,0.00305473804474
1562208145.7830,0,1,0,26.0,1,0.0,nan,1,0.0,0.0,0,0.00305473804474
1562208145.7836,0,1,0,26.0,1,0.0,nan,1,0.0,0.0,0,0.00305473804474
1562208145.7902,1,1,0,26.0,1,0.0,nan,1,0.0,0.0,0,0.00296160578728
1562208145.7939,0,1,0,26.0,1,0.0,nan,1,0.0,0.0,0,0.00296160578728
1562208145.8002,1,1,0,26.0,1,0.0,nan,1,0.0,0.0,0,0.00296160578728
1562208145.8033,0,1,0,26.0,1,0.0,nan,1,0.0,0.0,0,0.00325962901115
1562208145.8104,1,1,0,26.0,1,0.0,nan,1,0.0,0.0,0,0.00299885869026
1562208145.8138,0,1,0,26.0,1,0.0,nan,1,0.0,0.0,0,0.00299885869026
1562208145.8203,1,1,0,26.0,1,0.0,nan,1,0.0,0.0,0,0.00264495611191
1562208145.8233,0,1,0,26.0,1,0.0,nan,1,0.0,0.0,0,0.00264495611191
1562208145.8302,1,1,0,26.0,1,0.0,nan,1,0.0,0.0,0,0.00264495611191
1562208145.8338,0,1,0,26.0,1,0.0,nan,1,0.0,0.0,0,0.00197440385818
1562208145.8403,1,1,0,26.0,1,0.0,nan,1,0.0,0.0,0,0.00197440385818
1562208145.8442,0,1,0,26.0,1,0.0,nan,1,0.0,0.0,0,0.00327825546265
1562208145.8502,1,1,0,26.0,1,0.0,nan,1,0.0,0.0,0,0.00318512320518
