time,io,ctlmode,ctlbrake,ctlthrottle,ctlgear_location,vehicle_speed,engine_rpm,driving_mode,throttle_percentage,brake_percentage,gear_location, imu
1562207772.9645,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00348314642906
1562207772.9749,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00389292836189
1562207772.9844,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00383704900742
1562207772.9948,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00389292836189
1562207773.0042,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00376254320145
1562207773.0147,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00433996319771
1562207773.0243,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00433996319771
1562207773.0347,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00450760126114
1562207773.0442,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00433996319771
1562207773.0547,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00344589352608
1562207773.0643,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00357627868652
1562207773.0748,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00322237610817
1562207773.0843,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00376254320145
1562207773.0948,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.003632158041
1562207773.1043,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00398606061935
1562207773.1148,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00389292836189
1562207773.1243,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00376254320145
1562207773.1348,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00433996319771
1562207773.1443,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.003632158041
1562207773.1548,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00366941094398
1562207773.1646,0,1,0,0,1,0.0,nan,0,0.0,0.0,0,-0.00335276126862
1562207773.1739,0,1,0,0,1,0.0,nan,0,0.0,0.0,0,-0.00296160578728
1562207773.1747,1,1,0,23.0,1,0.0,nan,0,0.0,0.0,0,-0.00296160578728
1562207773.1846,1,1,0,23.0,1,0.0,nan,0,0.0,0.0,0,-0.00398606061935
1562207773.1946,1,1,0,23.0,1,0.0,nan,0,0.0,0.0,0,-0.00415369868279
1562207773.2046,1,1,0,23.0,1,0.0,nan,0,0.0,0.0,0,-0.00482425093651
1562207773.2146,1,1,0,23.0,1,0.0,nan,0,0.0,0.0,0,-0.00393018126488
1562207773.2246,1,1,0,23.0,1,0.0,nan,0,0.0,0.0,0,-0.00406056642532
1562207773.2346,1,1,0,23.0,1,0.0,nan,0,0.0,0.0,0,-0.00344589352608
1562207773.2446,1,1,0,23.0,1,0.0,nan,0,0.0,0.0,0,-0.00379979610443
1562207773.2547,1,1,0,23.0,1,0.0,nan,0,0.0,0.0,0,-0.00277534127235
1562207773.2646,1,1,0,23.0,1,0.0,nan,0,0.0,0.0,0,-0.00370666384697
1562207773.2745,1,1,0,23.0,1,0.0,nan,0,0.0,0.0,0,-0.00353902578354
1562207773.2846,1,1,0,23.0,1,0.0,nan,0,0.0,0.0,0,-0.003632158041
1562207773.2945,1,1,0,23.0,1,0.0,nan,0,0.0,0.0,0,-0.00299885869026
1562207773.3047,1,1,0,23.0,1,0.0,nan,0,0.0,0.0,0,-0.00402331352234
1562207773.3146,1,1,0,23.0,1,0.0,nan,0,0.0,0.0,0,-0.00379979610443
1562207773.3170,0,1,0,23.0,1,0.0,nan,1,0.0,0.0,0,-0.00379979610443
1562207773.3177,0,1,0,23.0,1,0.0,nan,1,0.0,0.0,0,-0.00379979610443
1562207773.3246,1,1,0,23.0,1,0.0,nan,1,0.0,0.0,0,-0.00553205609322
1562207773.3280,0,1,0,23.0,1,0.0,nan,1,0.0,0.0,0,-0.00486150383949
1562207773.3346,1,1,0,23.0,1,0.0,nan,1,0.0,0.0,0,-0.00486150383949
1562207773.3375,0,1,0,23.0,1,0.0,nan,1,0.0,0.0,0,-0.00486150383949
1562207773.3446,1,1,0,23.0,1,0.0,nan,1,0.0,0.0,0,-0.00389292836189
1562207773.3480,0,1,0,23.0,1,0.0,nan,1,0.0,0.0,0,-0.00389292836189
1562207773.3546,1,1,0,23.0,1,0.0,nan,1,0.0,0.0,0,-0.00283122062683
1562207773.3576,0,1,0,23.0,1,0.0,nan,1,0.0,0.0,0,-0.00283122062683
1562207773.3646,1,1,0,23.0,1,0.0,nan,1,0.0,0.0,0,-0.00476837158203
1562207773.3684,0,1,0,23.0,1,0.0,nan,1,0.0,0.0,0,-0.003632158041
1562207773.3746,1,1,0,23.0,1,0.0,nan,1,0.0,0.0,0,-0.003632158041
1562207773.3782,0,1,0,23.0,1,0.0,nan,1,0.0,0.0,0,-0.003632158041
1562207773.3845,1,1,0,23.0,1,0.0,nan,1,0.0,0.0,0,-0.00476837158203
1562207773.3877,0,1,0,23.0,1,0.0,nan,1,0.0,0.0,0,-0.00476837158203
1562207773.3949,1,1,0,23.0,1,0.0,nan,1,0.0,0.0,0,-0.00379979610443
1562207773.3981,0,1,0,23.0,1,0.0,nan,1,0.0,0.0,0,-0.00482425093651
1562207773.4047,1,1,0,23.0,1,0.0,nan,1,0.0,0.0,0,-0.00482425093651
1562207773.4079,0,1,0,23.0,1,0.0,nan,1,0.0,0.0,0,-0.00482425093651
1562207773.4146,1,1,0,23.0,1,0.0,nan,1,0.0,0.0,0,-0.00424683094025
1562207773.4175,0,1,0,23.0,1,0.0,nan,1,0.0,0.0,0,-0.00424683094025
1562207773.4246,1,1,0,23.0,1,0.0,nan,1,0.0,0.0,0,-0.00402331352234
1562207773.4281,0,1,0,23.0,1,0.0,nan,1,0.0,0.0,0,-0.00402331352234
1562207773.4346,1,1,0,23.0,1,0.0,nan,1,0.0,0.0,0,-0.00379979610443
1562207773.4378,0,1,0,23.0,1,0.0,nan,1,0.0,0.0,0,-0.00379979610443
1562207773.4446,1,1,0,23.0,1,0.0,nan,1,0.0,0.0,0,-0.003632158041
1562207773.4473,0,1,0,23.0,1,0.0,nan,1,0.0,0.0,0,-0.003632158041
1562207773.4551,1,1,0,23.0,1,0.0,nan,1,0.0,0.0,0,-0.00383704900742
1562207773.4579,0,1,0,23.0,1,0.0,nan,1,0.0,0.0,0,-0.00331550836563
1562207773.4646,1,1,0,23.0,1,0.0,nan,1,0.0,0.0,0,-0.00331550836563
1562207773.4676,0,1,0,23.0,1,0.0,nan,1,0.0,0.0,0,-0.00331550836563
1562207773.4745,1,1,0,23.0,1,0.0,nan,1,0.0,0.0,0,-0.00340864062309
1562207773.4784,0,1,0,23.0,1,0.0,nan,1,0.0,0.0,0,-0.00393018126488
1562207773.4848,1,1,0,23.0,1,0.0,nan,1,0.0,0.0,0,-0.00393018126488
1562207773.4879,0,1,0,23.0,1,0.0,nan,1,0.0,0.0,0,-0.00393018126488
1562207773.4946,1,1,0,23.0,1,0.0,nan,1,0.0,0.0,0,-0.00366941094398
1562207773.4975,0,1,0,23.0,1,0.0,nan,1,0.0,0.0,0,-0.00366941094398
1562207773.5046,1,1,0,23.0,1,0.0,nan,1,0.0,0.0,0,-0.00406056642532
1562207773.5080,0,1,0,23.0,1,0.0,nan,1,0.0,0.0,0,-0.00406056642532
1562207773.5146,1,1,0,23.0,1,0.0,nan,1,0.0,0.0,0,-0.00437721610069
1562207773.5174,0,1,0,23.0,1,0.0,nan,1,0.0,0.0,0,-0.00437721610069
1562207773.5247,1,1,0,23.0,1,0.0,nan,1,0.0,0.0,0,-0.00437721610069
1562207773.5278,0,1,0,23.0,1,0.0,nan,1,23.0,0.0,0,-0.00437721610069
1562207773.5346,1,1,0,23.0,1,0.0,nan,1,23.0,0.0,0,-0.00389292836189
1562207773.5376,0,1,0,23.0,1,0.0,nan,1,23.0,0.0,1,-0.00389292836189
1562207773.5446,1,1,0,23.0,1,0.0,nan,1,23.0,0.0,1,-0.00389292836189
1562207773.5480,0,1,0,23.0,1,0.0,nan,1,23.0,0.0,1,-0.00389292836189
1562207773.5545,1,1,0,23.0,1,0.0,nan,1,23.0,0.0,1,-0.00366941094398
1562207773.5575,0,1,0,23.0,1,0.0,nan,1,23.0,0.0,1,-0.00366941094398
