time,io,ctlmode,ctlbrake,ctlthrottle,ctlgear_location,vehicle_speed,engine_rpm,driving_mode,throttle_percentage,brake_percentage,gear_location, imu
1562208554.1177,0,1,0.0,0.0,0,0.0,nan,4,0.0,0.0,0,0.00277534127235
1562208554.1277,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,0.00277534127235
1562208554.1371,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,0.00296160578728
1562208554.1475,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,0.00283122062683
1562208554.1578,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,0.00273808836937
1562208554.1672,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,0.00277534127235
1562208554.1776,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,0.00305473804474
1562208554.1870,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,0.00296160578728
1562208554.1973,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,0.00286847352982
1562208554.2075,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,0.00264495611191
1562208554.2178,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,0.00260770320892
1562208554.2273,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,0.00225380063057
1562208554.2377,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,0.00286847352982
1562208554.2470,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,0.00273808836937
1562208554.2574,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,0.00296160578728
1562208554.2677,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,0.00305473804474
1562208554.2771,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,0.00357627868652
1562208554.2874,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,0.00376254320145
1562208554.2978,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,0.0029057264328
1562208554.3071,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,0.00348314642906
1562208554.3174,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,0.00283122062683
1562208554.3277,0,1,0,0,1,0.0,nan,0,0.0,0.0,0,0.00283122062683
1562208554.3290,1,1,0,33.0,1,0.0,nan,0,0.0,0.0,0,0.00283122062683
1562208554.3391,1,1,0,33.0,1,0.0,nan,0,0.0,0.0,0,0.00238418579102
1562208554.3490,1,1,0,33.0,1,0.0,nan,0,0.0,0.0,0,0.00286847352982
1562208554.3590,1,1,0,33.0,1,0.0,nan,0,0.0,0.0,0,0.0029057264328
1562208554.3690,1,1,0,33.0,1,0.0,nan,0,0.0,0.0,0,0.00322237610817
1562208554.3791,1,1,0,33.0,1,0.0,nan,0,0.0,0.0,0,0.00348314642906
1562208554.3891,1,1,0,33.0,1,0.0,nan,0,0.0,0.0,0,0.00305473804474
1562208554.3990,1,1,0,33.0,1,0.0,nan,0,0.0,0.0,0,0.00283122062683
1562208554.4090,1,1,0,33.0,1,0.0,nan,0,0.0,0.0,0,0.00277534127235
1562208554.4190,1,1,0,33.0,1,0.0,nan,0,0.0,0.0,0,0.00296160578728
1562208554.4290,1,1,0,33.0,1,0.0,nan,0,0.0,0.0,0,0.00327825546265
1562208554.4303,0,1,0,33.0,1,0.0,nan,1,0.0,0.0,0,0.00327825546265
1562208554.4305,0,1,0,33.0,1,0.0,nan,1,0.0,0.0,0,0.00327825546265
1562208554.4391,1,1,0,33.0,1,0.0,nan,1,0.0,0.0,0,0.00340864062309
1562208554.4407,0,1,0,33.0,1,0.0,nan,1,0.0,0.0,0,0.00340864062309
1562208554.4490,1,1,0,33.0,1,0.0,nan,1,0.0,0.0,0,0.00277534127235
1562208554.4511,0,1,0,33.0,1,0.0,nan,1,0.0,0.0,0,0.00277534127235
1562208554.4591,1,1,0,33.0,1,0.0,nan,1,0.0,0.0,0,0.00264495611191
1562208554.4614,0,1,0,33.0,1,0.0,nan,1,0.0,0.0,0,0.00264495611191
1562208554.4690,1,1,0,33.0,1,0.0,nan,1,0.0,0.0,0,0.00216066837311
1562208554.4707,0,1,0,33.0,1,0.0,nan,1,0.0,0.0,0,0.00216066837311
1562208554.4790,1,1,0,33.0,1,0.0,nan,1,0.0,0.0,0,0.00283122062683
1562208554.4810,0,1,0,33.0,1,0.0,nan,1,0.0,0.0,0,0.00283122062683
1562208554.4890,1,1,0,33.0,1,0.0,nan,1,0.0,0.0,0,0.00318512320518
1562208554.4914,0,1,0,33.0,1,0.0,nan,1,0.0,0.0,0,0.00318512320518
1562208554.4990,1,1,0,33.0,1,0.0,nan,1,0.0,0.0,0,0.00199303030968
1562208554.5006,0,1,0,33.0,1,0.0,nan,1,0.0,0.0,0,0.00199303030968
1562208554.5091,1,1,0,33.0,1,0.0,nan,1,0.0,0.0,0,0.00318512320518
1562208554.5110,0,1,0,33.0,1,0.0,nan,1,0.0,0.0,0,0.00318512320518
1562208554.5190,1,1,0,33.0,1,0.0,nan,1,0.0,0.0,0,0.00277534127235
1562208554.5213,0,1,0,33.0,1,0.0,nan,1,0.0,0.0,0,0.00277534127235
1562208554.5290,1,1,0,33.0,1,0.0,nan,1,0.0,0.0,0,0.00255182385445
1562208554.5306,0,1,0,33.0,1,0.0,nan,1,0.0,0.0,0,0.00255182385445
1562208554.5391,1,1,0,33.0,1,0.0,nan,1,0.0,0.0,0,0.0029057264328
1562208554.5409,0,1,0,33.0,1,0.0,nan,1,0.0,0.0,0,0.0029057264328
1562208554.5490,1,1,0,33.0,1,0.0,nan,1,0.0,0.0,0,0.00327825546265
1562208554.5511,0,1,0,33.0,1,0.0,nan,1,0.0,0.0,0,0.00327825546265
1562208554.5591,1,1,0,33.0,1,0.0,nan,1,0.0,0.0,0,0.00299885869026
1562208554.5604,0,1,0,33.0,1,0.0,nan,1,0.0,0.0,0,0.00299885869026
1562208554.5690,1,1,0,33.0,1,0.0,nan,1,0.0,0.0,0,0.00370666384697
1562208554.5707,0,1,0,33.0,1,0.0,nan,1,0.0,0.0,0,0.00370666384697
1562208554.5790,1,1,0,33.0,1,0.0,nan,1,0.0,0.0,0,0.00335276126862
1562208554.5810,0,1,0,33.0,1,0.0,nan,1,0.0,0.0,0,0.00335276126862
1562208554.5891,1,1,0,33.0,1,0.0,nan,1,0.0,0.0,0,0.00264495611191
1562208554.5912,0,1,0,33.0,1,0.0,nan,1,0.0,0.0,0,0.00264495611191
1562208554.5990,1,1,0,33.0,1,0.0,nan,1,0.0,0.0,0,0.00348314642906
1562208554.6005,0,1,0,33.0,1,0.0,nan,1,0.0,0.0,0,0.00348314642906
