time,io,ctlmode,ctlbrake,ctlthrottle,ctlgear_location,vehicle_speed,engine_rpm,driving_mode,throttle_percentage,brake_percentage,gear_location, imu
1562208477.6235,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00135973095894
1562208477.6337,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.000838190317154
1562208477.6441,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.000558793544769
1562208477.6534,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.000353902578354
1562208477.6637,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.0004842877388
1562208477.6741,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.000875443220139
1562208477.6832,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00119209289551
1562208477.6935,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.000875443220139
1562208477.7038,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.000875443220139
1562208477.7141,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00132247805595
1562208477.7233,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00126659870148
1562208477.7337,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00126659870148
1562208477.7442,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00100582838058
1562208477.7537,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.000838190317154
1562208477.7641,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.000838190317154
1562208477.7735,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00132247805595
1562208477.7838,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00141561031342
1562208477.7941,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.000391155481339
1562208477.8034,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.00100582838058
1562208477.8137,0,1,0.0,0.0,0,0.0,nan,0,0.0,0.0,0,-0.0014528632164
1562208477.8241,0,1,0,0,1,0.0,nan,0,0.0,0.0,0,-0.00132247805595
1562208477.8335,0,1,0,30.0,1,0.0,nan,0,0.0,0.0,0,-0.00158324837685
1562208477.8333,1,1,0,30.0,1,0.0,nan,0,0.0,0.0,0,-0.00158324837685
1562208477.8433,1,1,0,30.0,1,0.0,nan,0,0.0,0.0,0,-0.0014528632164
1562208477.8533,1,1,0,30.0,1,0.0,nan,0,0.0,0.0,0,-0.000782310962677
1562208477.8633,1,1,0,30.0,1,0.0,nan,0,0.0,0.0,0,-0.000875443220139
1562208477.8732,1,1,0,30.0,1,0.0,nan,0,0.0,0.0,0,-0.000707805156708
1562208477.8832,1,1,0,30.0,1,0.0,nan,0,0.0,0.0,0,-0.000204890966415
1562208477.8932,1,1,0,30.0,1,0.0,nan,0,0.0,0.0,0,-0.000521540641785
1562208477.9032,1,1,0,30.0,1,0.0,nan,0,0.0,0.0,0,-0.000204890966415
1562208477.9132,1,1,0,30.0,1,0.0,nan,0,0.0,0.0,0,-0.000745058059692
1562208477.9232,1,1,0,30.0,1,0.0,nan,0,0.0,0.0,0,-0.00135973095894
1562208477.9332,1,1,0,30.0,1,0.0,nan,0,0.0,0.0,0,-0.00113621354103
1562208477.9432,1,1,0,30.0,1,0.0,nan,0,0.0,0.0,0,-0.00132247805595
1562208477.9532,1,1,0,30.0,1,0.0,nan,0,0.0,0.0,0,-0.0009685754776
1562208477.9632,1,1,0,30.0,1,0.0,nan,0,0.0,0.0,0,-0.00113621354103
1562208477.9731,1,1,0,30.0,1,0.0,nan,0,0.0,0.0,0,-0.00154599547386
1562208477.9768,0,1,0,30.0,1,0.0,nan,1,0.0,0.0,0,-0.00154599547386
1562208477.9770,0,1,0,30.0,1,0.0,nan,1,0.0,0.0,0,-0.00154599547386
1562208477.9832,1,1,0,30.0,1,0.0,nan,1,0.0,0.0,0,7.45058059692e-05
1562208477.9872,0,1,0,30.0,1,0.0,nan,1,0.0,0.0,0,7.45058059692e-05
1562208477.9932,1,1,0,30.0,1,0.0,nan,1,0.0,0.0,0,-0.000838190317154
1562208477.9974,0,1,0,30.0,1,0.0,nan,1,0.0,0.0,0,-0.000838190317154
1562208478.0032,1,1,0,30.0,1,0.0,nan,1,0.0,0.0,0,-0.000260770320892
1562208478.0077,0,1,0,30.0,1,0.0,nan,1,0.0,0.0,0,-0.000260770320892
1562208478.0132,1,1,0,30.0,1,0.0,nan,1,0.0,0.0,0,-0.00370666384697
1562208478.0179,0,1,0,30.0,1,0.0,nan,1,0.0,0.0,0,-0.00370666384697
1562208478.0232,1,1,0,30.0,1,0.0,nan,1,0.0,0.0,0,7.45058059692e-05
1562208478.0274,0,1,0,30.0,1,0.0,nan,1,0.0,0.0,0,7.45058059692e-05
1562208478.0332,1,1,0,30.0,1,0.0,nan,1,0.0,0.0,0,-0.00158324837685
1562208478.0376,0,1,0,30.0,1,0.0,nan,1,0.0,0.0,0,-0.00158324837685
1562208478.0432,1,1,0,30.0,1,0.0,nan,1,0.0,0.0,0,-0.000353902578354
1562208478.0479,0,1,0,30.0,1,0.0,nan,1,0.0,0.0,0,-0.000353902578354
1562208478.0532,1,1,0,30.0,1,0.0,nan,1,0.0,0.0,0,-0.00158324837685
